,Unnamed: 0.1,Unnamed: 0,Hashtag,item_id,TikTok Link,Start Week Day,End Week Day,Video views,Engagement rate,Like count,Comment count,Share count,brand,audio_path,transcription,size,translated,polarity,sentiment_label,subjectivity
15,16,18,bugattidivo,7.45612744718082e+18,https://www.tiktok.com/@euamauryjunior/video/7456127447180823813,2024-12-30 00:00:00,2025-05-25 00:00:00,1500435,0.10582397771313,155074,2573,1135,bugatti,data/bugatti/7456127447180823813.mp3,"É gente, deu com hipobugate. Pra você que não sabe, ele acabou de ser flagrado rodando nas rodovias do interior de São Paulo. Só que o que era passeio a roler na paz, na prosperidade, na broderagem, acabou se tornando um pesadelo. Aí você vai falar, Maureen, como assim? O que aconteceu? Bateu o carro? Não, gente, graças a Deus, não bateu o carro, o carro tá bem. Mas ele estava aqui rodando na sua bonitesa máxima, o aerofólio levantado e do absoluto nada, olha só quem surgiu. Sim, eles. E o motivo vocês já sabiam por quê? Só que reza além daqui, calma.",557,"It's people, it gave it with hypobugate. For you who do not know, it has just been caught running on the highways of the interior of São Paulo. But what was Roler in Peace, Prosperity, Broderagem, ended up becoming a nightmare. Then you will talk, Maureen, what do you mean? What happened? Hit the car? No, guys, thank God, it didn't hit the car, the car is fine. But he was here running in his maximum handsome, the airfoil raised and the absolute nothing, look who came up. Yes, they. And why did you already know why? Only you pray beyond here, calm down.",0.1748263888888889,positive,0.7470486111111111
16,17,20,bugattilavoiturenoire,7.04050145472914e+18,https://www.tiktok.com/@havrogreen/video/7040501454729137410,2024-09-02 00:00:00,2025-05-25 00:00:00,5633158,0.0222269639871631,73269,3154,48785,bugatti,data/bugatti/7040501454729137410.mp3,"Самая дорогая машина в мире, какая же ее цена и что же это за машина? Это бугатель Аютерна Ир. Она является в одном экземпляре и стоит 1 миллиард 400 миллионов рублей. За место одной такой тачки можно было бы взять почти 2000 Renault Logan или даже 300 новых Mercedes.",268,"The most expensive car in the world, what is its price and what kind of car is it? This is a bug -in Autherna Ir. It is in one copy and costs 1 billion 400 million rubles. For the place of one such wheelbarrow, almost 2000 Renault Logan or even 300 new Mercedes could take.",0.14727272727272728,positive,0.610909090909091
17,18,21,bugattilavoiturenoire,7.03974541018912e+18,https://www.tiktok.com/@havrogreen/video/7039745410189118721?lang=en,2024-09-02 00:00:00,2025-05-25 00:00:00,1757901,0.0209812725517534,27068,889,8926,bugatti,data/bugatti/7039745410189118721.mp3,ТОП 5 самых дорогих машин в мире. Погнали! Пятое место. Бугати-Диво 400 миллионов рублей. 4 место Бугати-Центу-Диси. 660 миллионов рублей. 3 место Ролл Сройс с вэп-тейл. 956 миллионов рублей. 2 место Паганил Зонда-Ашпий-Баркета. Продается за 1 миллиар 300 миллионов рублей.,273,Top 5 of the most expensive cars in the world. Drove! Fifth place. Bugati is 400 million rubles. 4th place of Bugati Center-Disi. 660 million rubles. 3rd place Roll Sures with VEP-Stil. 956 million rubles. 2nd place Pagani Sunda-Ashpiy-Barket. Sold for 1 billion 300 million rubles.,0.075,positive,0.33999999999999997
18,19,22,bugattilavoiturenoire,6.97007284688639e+18,https://www.tiktok.com/@havrogreen/video/6970072846886391041,2024-09-02 00:00:00,2025-05-25 00:00:00,1301018,0.014138928131663,13300,387,4708,bugatti,data/bugatti/6970072846886391041.mp3,"Самая дорогая машина в мире. Бугатель Авиутер Найр. Кто же ее купил? Сама машина стоит 990 миллионов рублей. Но Кристиана Рональда взял ее почти за полтора миллиарда. Что можно купить за место одной такой машины, узнаю меня в профиле.",234,"The most expensive car in the world. Buger Avius Nayyr. Who bought it? The car itself costs 990 million rubles. But Christian Ronald took it for almost one and a half billion. What can be bought for the place of one such car, I recognize me in the profile.",-0.03333333333333333,negative,0.37333333333333335
19,20,35,ferrari250gto,7.43565424972954e+18,https://www.tiktok.com/@eggcraft_watch/video/7435654249729543457,2024-11-04 00:00:00,2025-05-25 00:00:00,602850,0.0268342041967321,13978,480,1719,ferrari,data/ferrari/7435654249729543457.mp3,"[""Pomp and Circumstance""]",25,"[""Pomp and Circumstance""]",0.0,neutral,0.0
20,21,36,ferrari250gto,7.46760154357172e+18,https://www.tiktok.com/@lamborghini._.7777/video/7467601543571721479,2025-02-03 00:00:00,2025-05-25 00:00:00,182386,0.0489127454958165,8513,301,107,ferrari,data/ferrari/7467601543571721479.mp3,Do actuallam life,17,Do actuallam life,0.0,neutral,0.0
21,22,40,ferrari296gtb,7.45185853737173e+18,https://www.tiktok.com/@dym3p/video/7451858537371733249,2024-12-23 00:00:00,2025-05-25 00:00:00,11611003,0.041920409459889,463845,3843,19050,ferrari,data/ferrari/7451858537371733249.mp3,"Đón xem video này, hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn",88,"Watch this video, subscribe to the channel of noodles to not miss attractive videos",0.8,positive,1.0
22,23,41,ferrari296gtb,7.47972702869088e+18,https://www.tiktok.com/@rseitalia/video/7479727028690881814,2025-03-31 00:00:00,2025-05-25 00:00:00,6568320,0.0013814795868654,8632,102,340,ferrari,data/ferrari/7479727028690881814.mp3,Super! Tuha Maconi!,19,Super! Tuha Maconi!,0.5208333333333333,positive,0.6666666666666666
23,24,42,ferrari296gtb,7.46011207663628e+18,https://www.tiktok.com/@bigbike.hypercar/video/7460112076636278023,2025-01-13 00:00:00,2025-05-25 00:00:00,3657323,0.052780134541029,190616,832,1586,ferrari,data/ferrari/7460112076636278023.mp3,I,1,I,0.0,neutral,0.0
24,25,43,ferrari296gtb,7.39929366248555e+18,https://www.tiktok.com/@iamcaralisa/video/7399293662485548320,2024-09-02 00:00:00,2025-05-25 00:00:00,2034679,0.0203142608735825,40567,302,464,ferrari,data/ferrari/7399293662485548320.mp3,I put a spell on you because you're mine,40,I put a spell on you because you're mine,0.0,neutral,0.0
25,26,44,ferrari296gtb,7.45070367827882e+18,https://www.tiktok.com/@phatscar/video/7450703678278814984,2024-12-16 00:00:00,2025-05-25 00:00:00,1373322,0.071023401649431,94654,926,1958,ferrari,data/ferrari/7450703678278814984.mp3,perfectly,9,perfectly,1.0,positive,1.0
26,27,45,ferrari296gts,7.43079635305748e+18,https://www.tiktok.com/@jeniferxu/video/7430796353057475846,2024-10-28 00:00:00,2025-05-25 00:00:00,925936,0.0659462425048815,57197,1869,1996,ferrari,data/ferrari/7430796353057475846.mp3,Ini adalah Ferrari 256DS Grand Tourismo Spider. Salah satu sportka dari Ferrari yang memiliki teknologi punk in hybrid. Bagasinya ada di bagian depan dengan pengenyimpanan yang cukup untuk sebuah sport car. Sedangkan misinya ada di belakang.,241,This is the Ferrari 256DS Grand Tourismo Spider. One sportka from Ferrari who has punk in hybrid technology. The luggage is on the front with adequate storage for a sport car. While the mission is behind.,0.1444444444444444,positive,0.6777777777777777
27,28,46,ferrari296gts,7.47019060578473e+18,https://www.tiktok.com/@cars_de_medallo/video/7470190605784730935,2025-02-10 00:00:00,2025-05-25 00:00:00,341604,0.130355616444772,38741,240,5549,ferrari,data/ferrari/7470190605784730935.mp3,"Junior Gonorrea, se lo juro que se vinieron todas las chingas de Medellín, se vinieron para acá, cuello, eso está inundado de chingas niños. Esto está una belleza, cuello, no sabía ni dónde mirar, pa.",200,"Junior Gonorrhea, I swear that all the Chingas of Medellín came, came to here, neck, that is flooded with chingas children. This is a beauty, neck, I didn't even know where to look, pa.",0.0,neutral,0.0
28,29,47,ferrari296gts,7.49961957875909e+18,https://www.tiktok.com/@leonardo.alonsoo/video/7499619578759089463,2025-04-28 00:00:00,2025-05-25 00:00:00,276357,0.0966358731640595,25833,142,731,ferrari,data/ferrari/7499619578759089463.mp3,"Jogando é o baile, baile, baile, baile, doce engado, doce, doce, mola, diferente, doce, mitro, transparente, doce, mil pagos, tatua, com doce, quanta, tá, quanta, gente, doce, engarra, flágio, risco, doce, bala, doce, doce, piranha, jogo",237,"Playing is the ball, ball, ball, ball, sweet, sweet, sweet, spring, different, sweet, mitro, transparent, sweet, a thousand paids, tattoo, with sweet, how much, how much, people, sweet, flag, risk, candy, candy, sweet, piranha, game",0.2333333333333334,positive,0.5500000000000002
29,30,48,ferrari296gts,7.31692723793933e+18,https://www.tiktok.com/@queenofsupercars/video/7316927237939334407,2024-09-02 00:00:00,2025-05-25 00:00:00,240415,0.0304639893517459,6874,224,226,ferrari,data/ferrari/7316927237939334407.mp3,"Baby, you know that I miss you, I just wanna kiss you Baby, you know that I miss you, I wanna get with you Tonight, but I can't help baby, get a nasty issue You know I miss you, I just wanna kiss you But I can't right now, so baby, kiss me through the phone",257,"Baby, you know that I miss you, I just wanna kiss you Baby, you know that I miss you, I wanna get with you Tonight, but I can't help baby, get a nasty issue You know I miss you, I just wanna kiss you But I can't right now, so baby, kiss me through the phone",-0.35714285714285715,negative,0.7678571428571428
30,31,49,ferrari296gts,7.5045140605039e+18,https://www.tiktok.com/@mydung070120/video/7504514060503895314,2025-05-12 00:00:00,2025-05-25 00:00:00,213085,0.0179224253232278,3369,216,234,ferrari,data/ferrari/7504514060503895314.mp3,Another shot and show me some love. I want to get the party going ladies to the front Now let me see you shake it and turn the music up when the bass Another shot and show me some love,184,Another shot and show me some love. I want to get the party going ladies to the front Now let me see you shake it and turn the music up when the bass Another shot and show me some love,0.2833333333333333,positive,0.5666666666666668
31,32,50,ferrari348,7.44501455626858e+18,https://www.tiktok.com/@_rafhin/video/7445014556268580151,2024-12-02 00:00:00,2025-05-25 00:00:00,1787106,0.12746138169756,205273,2447,20067,ferrari,data/ferrari/7445014556268580151.mp3,2.5 cm 3.5 cm 4.5 cm 5 cm 6 cm 7 cm 8 cm 9 cm 10 cm 10 cm 10 cm 10 cm 10 cm 10 cm 10 cm,87,2.5 cm 3.5 cm 4.5 cm 5 cm 6 cm 7 cm 8 cm 9 cm 10 cm 10 cm 10 cm 10 cm 10 cm 10 cm 10 cm,0.0,neutral,0.0
32,33,51,ferrari348,7.47770835626265e+18,https://www.tiktok.com/@bringatrailer/video/7477708356262645034,2025-03-03 00:00:00,2025-05-25 00:00:00,1612037,0.0059260426404604,9333,85,135,ferrari,data/ferrari/7477708356262645034.mp3,Placing into a induction back Chen Unidos you,45,Placing into a induction back Chen Unidos you,0.0,neutral,0.0
33,34,52,ferrari348,7.42078465744634e+18,https://www.tiktok.com/@_samu_s1/video/7420784657446341920,2024-09-30 00:00:00,2025-05-25 00:00:00,461451,0.0714290358022845,32569,209,183,ferrari,data/ferrari/7420784657446341920.mp3,filter Means non NUNUCAM conna,30,filter means no nunucam connain,0.0,neutral,0.0
34,35,53,ferrari348,7.40672272400705e+18,https://www.tiktok.com/@greatest_car_videos/video/7406722724007054624,2024-09-02 00:00:00,2025-05-25 00:00:00,380882,0.022335001391507,8287,164,56,ferrari,data/ferrari/7406722724007054624.mp3,"Bon c'est sûr, il y a un souci au niveau du moteur. Ouais. Forcément, tant qu'il y a une part d'inconnu, c'est forcément un peu risqué. Vous en voulez combien ? 45 000, c'est ça ? 45 000, ouais. Moi je pense quand même que pour une voiture qui n'a pas été super entretenue, c'est un peu cher. A entendu mon mec à dos, inévitablement, j'imagine un peu, faut faire la distribution, faut sortir le moteur, cette perte d'huile. C'est un seul moteur, c'est déjà deux jours de boulot. Dès j'en main d'heure, j'imagine un petit peu, plus le prix des pièces Ferrari, honnêtement, on va pouvoir vous en donner quoi.",606,"Well for sure, there is a concern at the engine level. Yeah. Inevitably, as long as there is a share of unknown, it is necessarily a little risky. How much do you want? 45,000, right? 45,000, yeah. I still think that for a car that has not been super maintained, it's a bit expensive. Heard my guy on the back, inevitably, I imagine a little, you have to distribute, you have to take out the engine, this loss of oil. It's only one engine, it's already two days of work. From my hour of an hour, I imagine a little, more the price of the Ferrari parts, honestly, we will be able to give you what.",0.10665922619047619,positive,0.594766865079365
35,36,54,ferrari348,7.39751520564061e+18,https://www.tiktok.com/@7luxurywheels7/video/7397515205640604961,2024-09-02 00:00:00,2025-05-25 00:00:00,271272,0.0571234775428352,14542,72,882,ferrari,data/ferrari/7397515205640604961.mp3,"You wanted, I wanted, she wanted, so come get it We forget, no regret, tonight I'ma make you taste it Come y'all now, why no more, shake your body and lose control Come y'all now, let them know, drop it down, now move it slow Come y'all now, why no more, shake your body and shake that ass Come y'all now, look so hard",318,"You wanted, I wanted, she wanted, so come get it We forget, no regret, tonight I'ma make you taste it Come y'all now, why no more, shake your body and lose control Come y'all now, let them know, drop it down, now move it slow Come y'all now, why no more, shake your body and shake that ass Come y'all now, look so hard",-0.24944444444444444,negative,0.4461111111111111
36,37,55,ferrari360modena,7.45133662657741e+18,https://www.tiktok.com/@jucaviapri/video/7451336626577411333,2024-12-16 00:00:00,2025-05-25 00:00:00,915588,0.117659908168303,105942,521,1265,ferrari,data/ferrari/7451336626577411333.mp3,"tomé la decisión de comprar mi primer Ferrari. Vaya que al decirlo se me puso la piel chinita, es el que tenía en la pared de mi cuarto, mientras crecía, literalmente, uno idéntico a este amarillo, y el póster estaba así. ¿Cómo no enamorarse? Vean eso, vean eso, vean esa silueta.",280,"I made the decision to buy my first Ferrari. It is that when I put chinita skin, it is the one I had on the wall of my room, while literally, one identical to this yellow, and the poster was like this. How not to fall in love? See that, see that, see that silhouette.",0.25,positive,0.3111111111111111
37,38,56,ferrari360modena,7.46077451820681e+18,https://www.tiktok.com/@jucaviapri/video/7460774518206811397,2025-01-13 00:00:00,2025-05-25 00:00:00,734337,0.0872950702470391,63440,184,480,ferrari,data/ferrari/7460774518206811397.mp3,"y para que se den una idea nada más que joyón al tipo de cambio de cuando lo compré, el coche costó menos de lo que cuesta un Z4 nuevo, obviamente a esto hay que sumarle el servicio que toca hacerle y todo lo que le hagamos, pero ¡uf! ¡Dil, dil, dil!",250,"And to give them an idea nothing more than a Joyon at the exchange rate of when I bought it, the car cost less than a new Z4 costs, obviously to this we must add the service to do and everything we do to him, but uf! Dil, Dil, Dil!",0.11742424242424243,positive,0.3803030303030303
38,39,57,ferrari360modena,7.45176214954378e+18,https://www.tiktok.com/@jucaviapri/video/7451762149543775493,2024-12-23 00:00:00,2025-05-25 00:00:00,603083,0.0992367551398397,59349,161,338,ferrari,data/ferrari/7451762149543775493.mp3,No te recomendamos usarlo y mucho menos fuerte antes de hacerle ese servicio porque el motor puede sufrir daños graves. Hay que hacerle un servicio de aproximadamente 20 mil dólares. ¡Incastumar que hay cuesta mujer! Por lo que no me van a ver manejar el coche más que unas vueltecitas por aquí para enseñárselos y punto porque me dijeron.,339,We do not recommend using it and much less strong before doing that service because the engine can suffer serious damage. You have to do a service of approximately 20 thousand dollars. Instumumar that there is a cost woman! So they will not see me handle the car more than a few turns around here to show them and point because they told me.,-0.044444444444444446,negative,0.4444444444444445
39,40,58,ferrari360modena,7.47282252813476e+18,https://www.tiktok.com/@luxury._cars._/video/7472822528134761750,2025-02-17 00:00:00,2025-05-25 00:00:00,444437,0.145073429979952,60618,279,3579,ferrari,data/ferrari/7472822528134761750.mp3,"Last night I dreamt of something new. Just like I've never gone, I knew the song. Young girl with eyes like the feather. It all seems like yesterday not far away.",162,"Last night I dreamt of something new. Just like I've never gone, I knew the song. Young girl with eyes like the feather. It all seems like yesterday not far away.",0.046590909090909086,positive,0.48030303030303034
40,41,59,ferrari360modena,7.46376661762578e+18,https://www.tiktok.com/@gdpower47/video/7463766617625775367,2025-01-20 00:00:00,2025-05-25 00:00:00,208384,0.0317922681203931,6380,76,169,ferrari,data/ferrari/7463766617625775367.mp3,"We did it in the house, the house We're the man, we did it in the house Yeah, it's a full-back, it's a full-back I got the power, the power, power, power, power, power, power, power Yeah, yeah, I got the quarter, shala shala order, shala, the power, the power, the power, the power Yeah, yeah, I'm not waste show time, get, gotta beat me, prove it my wrong, God, all that we see I got the power, the power, power, power, I'm not a dao",434,"We did it in the house, the house We're the man, we did it in the house Yeah, it's a full-back, it's a full-back I got the power, the power, power, power, power, power, power, power Yeah, yeah, I got the quarter, shala shala order, shala, the power, the power, the power, the power Yeah, yeah, I'm not waste show time, get, gotta beat me, prove it my wrong, God, all that we see I got the power, the power, power, power, I'm not a dao",-0.2,negative,0.45
41,42,61,ferrari430scuderia,7.46494254815545e+18,https://www.tiktok.com/@solodeportes.ok/video/7464942548155452678,2025-01-27 00:00:00,2025-05-25 00:00:00,1107248,0.0028584382179963,2934,26,205,ferrari,data/ferrari/7464942548155452678.mp3,"Encontrar toda la colección de Puma, Ferrari, Motorsports en www.solio-fortes.com.br Con 6 botas sin interés",108,"Find the entire Puma, Ferrari, Motorsports collection at www.solio-fortes.com.br with 6 boots without interest",0.0,neutral,0.625
42,43,62,ferrari430scuderia,7.47146319985482e+18,https://www.tiktok.com/@germanscarsjdmcia/video/7471463199854824710,2025-02-17 00:00:00,2025-05-25 00:00:00,999823,0.122838742457415,113600,370,8847,ferrari,data/ferrari/7471463199854824710.mp3,"Last night I dreamt of something new Just like I've never gone, I knew the song Young girl with eyes like the paper It all seems like yesterday not far away Talk to girl, we are the wings",187,"Last night I dreamt of something new Just like I've never gone, I knew the song Young girl with eyes like the paper It all seems like yesterday not far away Talk to girl, we are the wings",0.046590909090909086,positive,0.48030303030303034
43,44,63,ferrari430scuderia,7.47233604809004e+18,https://www.tiktok.com/@gtoscud/video/7472336048090041622,2025-02-17 00:00:00,2025-05-25 00:00:00,985476,0.07875584996489,68563,520,8529,ferrari,data/ferrari/7472336048090041622.mp3,Music,5,Music,0.0,neutral,0.0
44,45,64,ferrari430scuderia,7.44149438278994e+18,https://www.tiktok.com/@mtegarage/video/7441494382789938439,2024-11-25 00:00:00,2025-05-25 00:00:00,51423,0.0084786963032106,397,18,21,ferrari,data/ferrari/7441494382789938439.mp3,"Selamat pagi, kami di MT sekarang. Kami ingin menunjukkan apa yang kita akan membuat hari ini. Dan apa yang kita akan lakukan. Mari kita menyebabkan hari ini. Kita akan memastikan kerja di Ferrari GTC Lucero 4. Jadi apa yang akan berlaku? Itu adalah set set kerja. Jika plan tak berlaku, berubah plan.",301,"Good morning, we're at MT now. We want to show what we are going to do today. And what we're going to do. Let's cause today. We will make sure the work at the Ferrari GTC Lucero 4. So what will happen? That's a set of work. If the plan does not happen, change the plan.",0.6,positive,0.7444444444444445
45,46,65,ferrari458italia,7.3326462022001e+18,https://www.tiktok.com/@carsvibess/video/7332646202200100129,2024-09-02 00:00:00,2025-05-25 00:00:00,1190031,0.0486710010075367,50719,513,6688,ferrari,data/ferrari/7332646202200100129.mp3,"If you enjoyed this, plop, like, share, subscribe, and Guesst want to help us possibly take more牙!",98,"If you enjoyed this, plop, like, share, subscribe, and Guesst want to help us possibly take more牙!",0.25,positive,0.85
46,47,66,ferrari458italia,7.47670512719002e+18,https://www.tiktok.com/@kexcars/video/7476705127190023431,2025-02-24 00:00:00,2025-05-25 00:00:00,1091399,0.281270186247193,271371,812,34795,ferrari,data/ferrari/7476705127190023431.mp3,Freightああ,9,Freight ah,0.0,neutral,0.0
47,48,67,ferrari458italia,6.98445650669144e+18,https://www.tiktok.com/@joaovilkas28/video/6984456506691439877?lang=en,2024-09-02 00:00:00,2025-05-25 00:00:00,821804,0.0282950679237385,22154,164,935,ferrari,data/ferrari/6984456506691439877.mp3,වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව,111,Violated from approved by approaching approved by approaching approved by approaching approved by approaching,0.0,neutral,0.0
48,49,71,ferrari458speciale,7.47670512719002e+18,https://www.tiktok.com/@kexcars/video/7476705127190023431,2025-02-24 00:00:00,2025-05-25 00:00:00,1091402,0.281271245608859,271373,812,34795,ferrari,data/ferrari/7476705127190023431.mp3,You,3,You,0.0,neutral,0.0
49,50,73,ferrari458speciale,7.46376661762578e+18,https://www.tiktok.com/@gdpower47/video/7463766617625775367,2025-01-20 00:00:00,2025-05-25 00:00:00,208373,0.0317891473463452,6379,76,169,ferrari,data/ferrari/7463766617625775367.mp3,"We did it in the house, the house We're the man, we did it in the house Yeah, it's a full-back, it's a full-back I got the power, the power, power, power, power, power, power, power Yeah, yeah, I got the quarter, shala shala order, shala, the power, the power, the power, the power Yeah, yeah, I'm not waste show time, get, gotta beat me, prove it my wrong, God, all that we see I got the power, the power, power, power, I'm not a dao",434,"We did it in the house, the house We're the man, we did it in the house Yeah, it's a full-back, it's a full-back I got the power, the power, power, power, power, power, power, power Yeah, yeah, I got the quarter, shala shala order, shala, the power, the power, the power, the power Yeah, yeah, I'm not waste show time, get, gotta beat me, prove it my wrong, God, all that we see I got the power, the power, power, power, I'm not a dao",-0.2,negative,0.45
